,data_types,hubmap_id,origin_samples_unique_mapped_organs,uuid
180,['salmon_rnaseq_snareseq'],HBM489.FMFG.924,['Heart'],3cea4461cc32a615254a7a6b5423aa1b
181,['salmon_sn_rnaseq_10x'],HBM752.KZCK.589,['Kidney (Right)'],ad693f99fb9006e68a53e97598da1509
182,['salmon_sn_rnaseq_10x'],HBM372.TFNT.572,['Kidney (Right)'],a2268636667d51ce05ddea2451621434
183,['salmon_sn_rnaseq_10x'],HBM869.JPSM.342,['Kidney (Left)'],b52062ad74e35b61179be6d4d137b7b8
184,['salmon_sn_rnaseq_10x'],HBM467.RQDN.922,['Kidney (Left)'],3c1b10bc912c60c9afc36b7423695236
185,['salmon_sn_rnaseq_10x'],HBM626.PHCW.834,['Kidney (Left)'],1dc16eb0270ff73291dd45b6a96aa3c0
186,['salmon_rnaseq_slideseq'],HBM528.KNCB.488,['Kidney (Left)'],a6bfa5ab516fcc24137cdd3ce3971e2c
187,['salmon_sn_rnaseq_10x'],HBM367.SLVS.253,['Bladder'],ffade7fd19cebd25cd9a9fab2111cb09
188,['salmon_rnaseq_slideseq'],HBM438.BGFJ.559,['Kidney (Right)'],450581eb06aeeb66419b4007d5e86baa
189,['salmon_rnaseq_slideseq'],HBM258.HQCL.349,['Kidney (Right)'],5c57b3574a103e4990c8ed54cd82c6e6
190,['salmon_rnaseq_slideseq'],HBM623.PSDG.665,['Kidney (Right)'],0430a44e418219aafce608f4286b2a9b
191,['salmon_rnaseq_slideseq'],HBM688.FLJB.475,['Kidney (Right)'],b0c09583b2a1b3c82eddce71706dba4b
192,['salmon_rnaseq_slideseq'],HBM265.HMJZ.658,['Kidney (Left)'],29596bee3f70b2bfc89d184fe38a3daa
193,['salmon_sn_rnaseq_10x'],HBM437.QDDP.227,['Kidney (Left)'],80a6ada1863d11fd0c338b2fab7f7d36
194,['salmon_rnaseq_slideseq'],HBM587.QDFJ.926,['Kidney (Left)'],ccf899abde825d51b03ad91028483ac1
195,['salmon_sn_rnaseq_10x'],HBM494.MQQL.234,['Kidney (Left)'],79022070eab3517655e57a85b2438e7a
196,['salmon_sn_rnaseq_10x'],HBM375.WFJK.667,['Kidney (Left)'],34dc58df212563c90d9d86782f4209ba
197,['salmon_sn_rnaseq_10x'],HBM275.PDRR.759,['Kidney (Left)'],a4fe3e811e2bfc795dbbb133f6b6a8a4
198,['salmon_sn_rnaseq_10x'],HBM358.DJCN.966,['Kidney (Left)'],03e021cda976339676187e8597d7c485
